year,England,Northern Ireland,Scotland,Wales
2015.0,0.0,0.0,0.0256,0.0033
2016.0,0.0015,0.0119,0.0103,0.0
2017.0,0.0004,0.0827,0.0417,0.0257
2018.0,0.0376,0.0544,0.1345,0.0687
2019.0,0.0193,0.0198,0.2742,0.2146
2020.0,0.0186,0.0653,0.0326,0.3628
2021.0,0.0088,0.0359,0.0568,0.0546
2022.0,0.0258,0.0452,0.09,0.4448
2023.0,0.0034,0.0105,0.0923,0.0566
2024.0,0.001,0.0001,0.0286,0.0007
2025.0,0.033,0.2063,0.3602,0.6438
