month,2020,2021,2022,2023,2024,2025
Jan,13,9,36,16,51,7
Feb,35,69,54,114,12,17
Mar,367,291,698,82,76,361
Apr,748,823,557,229,140,399
May,545,102,206,423,153,258
Jun,220,200,232,674,141,55
Jul,73,202,473,151,115,0
Aug,110,107,663,36,125,0
Sep,89,144,187,48,52,0
Oct,25,38,48,28,11,0
Nov,36,35,23,26,12,0
Dec,14,19,18,34,6,0
